country,year,lifeExp,pop,gdpPercap,giniPercap,continent
Cuba,2018,79.3,11500000,20000,43.4,Americas
Cyprus,2018,80.8,1190000,32200,34,NA
Czech Republic,2018,79.4,10600000,32300,25.9,Europe
Denmark,2018,81.1,5750000,46600,28.2,Europe
Djibouti,2018,67.1,971000,3540,44.1,Africa
Dominica,2018,NA,74300,10600,40,NA
Dominican Republic,2018,76.1,10900000,15200,45.3,Americas
Ecuador,2018,78.3,16900000,10200,45,Americas
Egypt,2018,72.6,99400000,10800,31.8,Africa
El Salvador,2018,75.8,6410000,8290,40,Americas
Equatorial Guinea,2018,66.1,1310000,20500,40,Africa
Eritrea,2018,64.6,5190000,1250,40,Africa
Estonia,2018,77.7,1310000,29500,32.7,Europe
Ethiopia,2018,66.4,108000000,1800,39.1,Africa
Fiji,2018,65.8,912000,9420,36.7,NA
Finland,2018,82.1,5540000,40300,27.1,Europe
France,2018,82.6,65200000,39000,32.7,Europe
Gabon,2018,67.3,2070000,17500,38.1,Africa
Gambia,2018,67.8,2160000,1570,35.9,Africa
Georgia,2018,74.3,3910000,10100,36.5,NA
Germany,2018,81.3,82300000,45200,31.7,Europe
Ghana,2018,66.6,29500000,4380,42.4,Africa
Greece,2018,81.3,11100000,25500,36,Europe
Grenada,2018,71.9,108000,13500,40,NA
Guatemala,2018,73.2,17200000,7530,48.3,Americas
Guinea,2018,61.9,13100000,1280,33.7,Africa
Guinea-Bissau,2018,59.7,1910000,1550,50.7,Africa
Guyana,2018,68.2,782000,7740,43.2,NA
Haiti,2018,64.5,11100000,1710,50.9,Americas
Honduras,2018,73.1,9420000,4590,50.1,Americas
Hungary,2018,75.9,9690000,26900,30.4,Europe
Iceland,2018,82.6,338000,47400,27.8,Europe
India,2018,69.1,1350000000,6890,35.1,Asia
Indonesia,2018,72,267000000,11600,38.3,Asia
Iran,2018,76.5,82000000,17400,38.8,Asia
Iraq,2018,68,39300000,15900,29.5,Asia
Ireland,2018,81.5,4800000,65600,31.8,Europe
Israel,2018,82.4,8450000,33400,41.4,Asia
Italy,2018,82.6,59300000,35200,35.4,Europe
Jamaica,2018,75.2,2900000,8520,45.5,Americas
Japan,2018,84.2,127000000,39100,32.1,Asia
Jordan,2018,76.7,9900000,8450,33.7,Asia
Kazakhstan,2018,72,18400000,24200,26.9,NA
Kenya,2018,67.3,51000000,3110,40.8,Africa
Kiribati,2018,62.2,118000,1890,37,NA
Kuwait,2018,80,4200000,68400,40,Asia
Kyrgyz Republic,2018,71.5,6130000,3490,26.8,NA
Lao,2018,67.9,6960000,6310,36.4,NA
Latvia,2018,75.1,1930000,25500,34.2,Europe
Lebanon,2018,80.5,6090000,13400,31.8,Asia
Lesotho,2018,51.1,2260000,2960,54.2,Africa
Liberia,2018,65.4,4850000,801,33.2,Africa
Libya,2018,75.5,6470000,18300,40,Africa
Lithuania,2018,75.3,2880000,30400,37.4,NA
Luxembourg,2018,82.4,590000,99000,33.8,Europe
"Macedonia, FYR",2018,75.2,2090000,14000,35.6,NA
Madagascar,2018,63.4,26300000,1460,42.7,Africa
Malawi,2018,61,19200000,1130,45.5,Africa
Malaysia,2018,75.9,32000000,27200,41,Asia
Maldives,2018,80.1,444000,13000,38.4,NA
Mali,2018,62.9,19100000,2020,33,Africa
Malta,2018,81.8,432000,37900,29.4,NA
Marshall Islands,2018,NA,53200,3780,40,NA
Mauritania,2018,70.6,4540000,3670,32.6,Africa
Mauritius,2018,74.9,1270000,21000,35.8,Africa
Mexico,2018,76.8,131000000,17300,45.9,Americas
"Micronesia, Fed. Sts.",2018,65.8,106000,3410,40.1,NA
Moldova,2018,72.4,4040000,5330,26.4,NA
Mongolia,2018,68.7,3120000,12100,32.4,Asia
Montenegro,2018,77.3,629000,16600,31.9,Europe
Morocco,2018,75.5,36200000,7720,39.6,Africa
Mozambique,2018,61.1,30500000,1200,54,Africa
Myanmar,2018,70.3,53900000,6100,38.1,Asia
Namibia,2018,65.7,2590000,10500,59.1,Africa
Nepal,2018,71.5,29600000,2420,32.8,Asia
Netherlands,2018,81.9,17100000,48500,28.2,Europe
New Zealand,2018,81.8,4750000,36400,35,Oceania
Nicaragua,2018,78.7,6280000,5470,46.2,Americas
Niger,2018,62.5,22300000,949,34.3,Africa
Nigeria,2018,66.1,196000000,5570,43,Africa
North Korea,2018,71.1,25600000,1390,37,Asia
Norway,2018,82.4,5350000,64800,27.5,Europe
Oman,2018,78.1,4830000,38900,40,Asia
Pakistan,2018,68,201000000,5220,33.5,Asia
Palestine,2018,72.2,5050000,2700,33.7,NA
Panama,2018,79.4,4160000,23400,50.4,Americas
Papua New Guinea,2018,61.1,8420000,2800,41.9,NA
Paraguay,2018,74.8,6900000,9280,47.9,Americas
Peru,2018,80.2,32600000,12700,43.8,Americas
Philippines,2018,70.5,107000000,7960,42.2,Asia
Poland,2018,78.2,38100000,27700,30.8,Europe
Portugal,2018,81.3,10300000,27900,35.5,Europe
Qatar,2018,80.7,2690000,121000,40,NA
Romania,2018,75.5,19600000,23400,28.3,Europe
Russia,2018,71.1,144000000,24800,37.7,NA
Rwanda,2018,68.3,12500000,1930,45.1,Africa
Samoa,2018,72.4,198000,5950,42.1,NA
Sao Tome and Principe,2018,70.9,209000,3180,30.8,Africa
Saudi Arabia,2018,77.6,33600000,50100,40,Asia
Senegal,2018,66.8,16300000,2570,40.3,Africa
Serbia,2018,76.2,8760000,14800,34.1,Europe
Seychelles,2018,74.2,95200,27500,46.8,NA
Sierra Leone,2018,60,7720000,1490,34,Africa
Singapore,2018,84,5790000,83900,40.9,Asia
Slovak Republic,2018,77.2,5450000,31400,26.5,Europe
Slovenia,2018,81.1,2080000,30900,25.4,Europe
Solomon Islands,2018,63.6,623000,2110,37.1,NA
Somalia,2018,58,15200000,629,48,Africa
South Africa,2018,63.5,57400000,12300,63,Africa
South Korea,2018,81.3,51200000,36800,31.6,Asia
South Sudan,2018,60.7,12900000,1820,45,NA
Spain,2018,83.2,46400000,34700,36.2,Europe
Sri Lanka,2018,77.8,21000000,12400,39.8,Asia
St. Lucia,2018,76.6,180000,10900,42.6,NA
St. Vincent and the Grenadines,2018,72,110000,11400,40,NA
Sudan,2018,68.8,41500000,4440,35.4,Africa
Suriname,2018,71.6,568000,13200,61,NA
Swaziland,2018,58.6,1390000,7600,51.5,Africa
Sweden,2018,82.4,9980000,47500,29,Europe
Switzerland,2018,83.5,8540000,57100,32.3,Europe
Syria,2018,69.8,18300000,2900,35.2,Asia
Tajikistan,2018,72.2,9110000,2920,34,NA
Tanzania,2018,65.5,59100000,2780,37.8,Africa
Thailand,2018,78.2,69200000,16900,36,Asia
Timor-Leste,2018,73.3,1320000,1490,28.7,NA
Togo,2018,63.1,7990000,1480,43.1,Africa
Tonga,2018,70.7,109000,5500,37.5,NA
Trinidad and Tobago,2018,73.4,1370000,30300,41.3,Americas
Tunisia,2018,78,11700000,11600,35.8,Africa
Turkey,2018,79.6,81900000,24900,41.9,Europe
Turkmenistan,2018,70.5,5850000,17900,46.4,NA
Uganda,2018,62.9,44300000,1820,42.7,Africa
Ukraine,2018,72.3,44000000,8330,25,NA
United Arab Emirates,2018,76.9,9540000,68200,40,NA
United Kingdom,2018,81.2,66600000,40100,33.2,Europe
United States,2018,79.1,327000000,54900,41.5,Americas
Uruguay,2018,77.6,3470000,21300,39.7,Americas
Uzbekistan,2018,70.5,32400000,6690,33.5,NA
Vanuatu,2018,64.3,282000,2900,37.6,NA
Venezuela,2018,75.9,32400000,14200,46.9,Americas
Vietnam,2018,74.9,96500000,6550,35.3,Asia
Yemen,2018,67.1,28900000,2430,36.7,NA
Zambia,2018,59.5,17600000,3860,57.1,Africa
Zimbabwe,2018,60.2,16900000,1950,43.2,Africa
