title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
In Flagrante,2000,71,NA,8.9,9,0,0,0,0,0,0,0,45.5,0,44.5,,0,0,0,0,0,0,0
"Schweigende Stern, Der",1960,79,NA,4.1,195,14.5,4.5,14.5,4.5,14.5,14.5,4.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
Family Attraction,1998,17,NA,5.7,16,0,0,4.5,0,4.5,14.5,34.5,0,4.5,34.5,,0,0,0,0,0,0,1
Skins,2002,84,NA,6.6,351,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,44.5,R,0,0,0,1,0,0,0
How to Have an Accident in the Home,1956,7,NA,7.7,22,0,0,0,0,4.5,0,24.5,34.5,4.5,24.5,,0,1,1,0,0,0,1
Scorpion Spring,1997,90,NA,4.8,61,4.5,4.5,4.5,24.5,24.5,14.5,4.5,4.5,4.5,4.5,R,0,0,0,0,0,0,0
Porky's Last Stand,1940,6,NA,6.6,12,0,0,0,0,4.5,14.5,24.5,34.5,4.5,4.5,,0,1,1,0,0,0,1
Skippy,2001,90,NA,3.5,40,34.5,14.5,4.5,4.5,4.5,4.5,4.5,0,0,24.5,PG,0,0,1,0,0,1,0
"Good Companions, The",1957,104,NA,4.9,13,4.5,0,0,24.5,4.5,14.5,34.5,4.5,0,4.5,,0,0,0,0,0,1,0
Juet sai ho bun,2004,103,NA,5.8,18,0,0,0,4.5,24.5,24.5,34.5,0,14.5,0,,0,0,1,0,0,1,0
Dias de Nietzsche em Turim,2001,85,NA,6.5,51,14.5,4.5,4.5,4.5,14.5,14.5,24.5,4.5,4.5,4.5,,0,0,0,1,0,0,0
Gold Raiders,1951,56,50000,5.5,16,0,0,4.5,4.5,14.5,24.5,14.5,14.5,4.5,14.5,,0,0,1,0,0,0,0
Future War,1997,90,NA,1.6,1622,45.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,,1,0,0,0,0,0,0
Crystania no densetsu,1995,85,NA,6.1,25,0,0,0,0,24.5,24.5,4.5,34.5,4.5,4.5,,0,1,0,0,0,0,0
"Dependiente, El",1969,87,NA,8,26,0,0,0,0,0,4.5,4.5,34.5,24.5,34.5,,0,0,0,1,0,0,0
Dorotej,1981,98,NA,7.3,7,0,0,0,0,14.5,0,44.5,14.5,14.5,14.5,,0,0,0,1,0,0,0
Triple Bogey on a Par Five Hole,1991,85,NA,7.4,17,0,4.5,0,4.5,0,14.5,0,34.5,4.5,24.5,,0,0,1,0,0,0,0
Musical Masterpieces,1946,10,NA,6.4,6,0,0,0,14.5,0,14.5,45.5,0,14.5,0,,0,0,0,0,0,0,1
Inside Amy,1975,100,NA,2.1,7,24.5,0,14.5,14.5,14.5,0,14.5,0,14.5,0,,0,0,0,1,0,0,0
Dear Diary,1996,38,NA,6.2,20,0,4.5,4.5,0,24.5,4.5,0,14.5,14.5,44.5,,0,0,1,0,0,0,1
Mickey's Mechanical Man,1933,7,NA,5.8,19,0,14.5,14.5,14.5,14.5,14.5,24.5,4.5,4.5,14.5,,0,1,1,0,0,0,1
Go Down Death,1944,56,NA,5.8,15,0,4.5,0,4.5,24.5,14.5,24.5,14.5,4.5,4.5,,0,0,0,0,0,0,0
Wie Feuer und Flamme,2001,94,NA,7.1,143,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,,0,0,0,1,0,1,0
Matango,1963,89,NA,5.3,209,4.5,4.5,4.5,4.5,14.5,4.5,14.5,14.5,4.5,24.5,,0,0,0,1,0,0,0
It's Okay to Drink Whiskey,2002,10,NA,8.7,6,0,0,0,0,0,14.5,0,34.5,0,45.5,,0,0,0,0,0,0,1
Hit & Run,2000,45,NA,7.1,16,0,0,4.5,4.5,0,0,4.5,34.5,34.5,14.5,,0,0,0,0,1,0,0
"Crime ne paie pas, Le",1962,79,NA,5.9,20,4.5,0,0,4.5,14.5,14.5,14.5,14.5,14.5,24.5,,0,0,0,1,0,0,0
Ted Bundy,2002,99,1200000,5.2,852,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0
Maruhi - Shikijo mesu ichiba,1974,83,NA,7.2,10,0,0,0,0,14.5,14.5,34.5,14.5,14.5,34.5,,0,0,0,0,0,0,0
Money to Loan,1939,20,NA,6.3,6,0,0,0,0,14.5,64.5,0,14.5,0,0,,0,0,0,1,0,0,1
"Obvious Moment of Happiness, An",2003,82,NA,9,7,0,0,0,0,0,0,0,24.5,44.5,24.5,,0,0,1,0,0,0,0
Second Fiddle to a Steel Guitar,1966,107,NA,7.1,5,0,0,0,0,0,0,24.5,0,0,84.5,,0,0,1,0,0,0,0
"Lonesome Stranger, The",1946,11,NA,5.3,5,0,0,0,24.5,0,24.5,0,0,0,64.5,,0,0,0,0,0,0,1
Number Seventeen,1932,63,NA,6.2,432,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
Elkerlyc,1975,94,NA,3.4,9,14.5,14.5,0,14.5,0,34.5,0,14.5,14.5,14.5,,0,0,0,0,0,0,0
King of the Mountain,1981,90,2000000,4.1,49,4.5,0,4.5,14.5,24.5,4.5,4.5,14.5,4.5,14.5,,0,0,0,1,0,0,0
"Jungfrauenmaschine, Die",1988,84,NA,6.2,56,14.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,,0,0,0,0,0,0,0
Fatty and Mabel Adrift,1916,34,NA,7.1,38,14.5,0,0,0,4.5,4.5,14.5,34.5,14.5,14.5,,0,0,1,0,0,0,1
Buffalo Bill Rides Again,1947,69,NA,4.7,11,4.5,24.5,14.5,4.5,24.5,0,0,0,0,4.5,,0,0,0,0,0,0,0
Embrasse-moi,1989,95,NA,7.4,5,0,0,0,0,24.5,24.5,24.5,0,24.5,24.5,,0,0,0,1,0,0,0
"Herz von St. Pauli, Das",1957,95,NA,5,15,0,0,0,24.5,24.5,44.5,0,4.5,0,4.5,,0,0,0,1,0,0,0
Slaughterhouse Rock,1988,90,NA,3.5,62,14.5,4.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,14.5,,0,0,0,0,0,0,0
In the Aftermath,1988,85,NA,5.4,24,14.5,0,4.5,14.5,14.5,4.5,14.5,4.5,4.5,24.5,,0,1,0,0,0,0,0
"Fille de Dracula, La",1972,87,NA,5.4,31,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,0,14.5,,0,0,0,0,0,1,0
Same Difference,2003,14,7000,8.9,8,0,0,14.5,0,0,0,0,14.5,0,74.5,,0,0,0,0,0,0,1
Reaching for the Moon,1930,91,NA,5.7,46,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,,0,0,1,0,0,1,0
I Saw What You Did,1965,82,NA,6.5,284,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,24.5,,0,0,0,0,0,0,0
"Corps de mon ennemi, Le",1976,120,NA,6.2,185,0,4.5,4.5,4.5,14.5,14.5,24.5,24.5,4.5,4.5,,0,0,0,0,0,0,0
Jump Into Hell,1955,77,NA,5.6,14,0,4.5,0,14.5,14.5,14.5,24.5,4.5,0,14.5,,0,0,0,1,0,0,0
Big Business Girl,1931,75,NA,5.1,11,0,0,4.5,4.5,14.5,34.5,24.5,0,0,0,,0,0,1,0,0,1,0
"Truth About Love, The",2004,100,NA,8.3,15,14.5,0,0,0,0,0,4.5,14.5,4.5,64.5,,0,0,1,0,0,1,0
Baby Blues,2002,87,NA,5.6,15,34.5,4.5,4.5,0,0,0,0,24.5,0,34.5,,0,0,0,1,0,0,0
Cool Cat,1967,6,NA,6,11,0,0,4.5,0,34.5,0,0,14.5,0,34.5,,0,1,1,0,0,0,1
Droid,1988,70,NA,5.2,7,24.5,0,0,14.5,0,0,14.5,0,0,44.5,,0,0,0,0,0,0,0
Calmos,1976,81,NA,5.5,44,4.5,4.5,4.5,4.5,14.5,4.5,14.5,14.5,14.5,24.5,,0,0,1,0,0,0,0
Charlie Chan in Paris,1935,72,110000,7,199,4.5,0,4.5,4.5,4.5,14.5,14.5,14.5,24.5,24.5,,0,0,0,0,0,0,0
Irma & Floyd,1994,27,NA,8.6,7,14.5,0,0,0,0,0,0,0,14.5,74.5,,0,0,1,1,0,0,1
Moving,2002,97,9000,7.9,9,0,0,24.5,0,0,0,24.5,34.5,14.5,14.5,,0,0,1,0,0,0,0
Four Dogs Playing Poker,2000,97,NA,5.7,496,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,R,0,0,0,0,0,0,0
Gift of Gab,1934,70,NA,3.6,15,4.5,14.5,24.5,4.5,14.5,14.5,0,0,4.5,14.5,,0,0,1,0,0,0,0
Hitonatsu no taiken: aoi sangosho,1981,68,NA,5.2,28,0,4.5,14.5,14.5,14.5,14.5,14.5,0,4.5,14.5,,0,0,0,0,0,0,0
Desperadoes of Dodge City,1948,60,NA,6.3,5,0,0,0,0,24.5,0,84.5,0,0,0,,0,0,0,0,0,0,0
Clair de femme,1979,102,NA,6.1,82,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,,0,0,0,1,0,0,0
5 tombe per un medium,1965,85,NA,4.8,34,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,4.5,,0,0,0,0,0,0,0
Deep Down,1994,85,NA,3.5,43,4.5,14.5,14.5,4.5,14.5,14.5,4.5,4.5,4.5,14.5,R,0,0,0,0,0,0,0
"Big T.N.T. Show, The",1966,93,NA,7.7,51,4.5,4.5,4.5,4.5,0,4.5,14.5,24.5,4.5,34.5,,0,0,0,0,1,0,0
Il faut tuer Birgit Haas,1981,105,NA,6.5,41,0,0,4.5,0,4.5,24.5,24.5,14.5,4.5,4.5,,0,0,0,0,0,0,0
"Camorrista, Il",1985,168,NA,6.1,42,4.5,4.5,4.5,0,4.5,24.5,14.5,14.5,14.5,14.5,,0,0,0,0,0,0,0
Murder by the Clock,1931,76,NA,6.3,14,0,0,0,4.5,14.5,14.5,34.5,4.5,4.5,14.5,,0,0,0,0,0,0,0
Snowriders II,1997,95,NA,3.5,13,24.5,0,0,0,4.5,14.5,14.5,0,0,34.5,,0,0,0,0,1,0,0
Aashirwad,1968,146,NA,8.6,11,0,0,0,0,14.5,0,0,14.5,14.5,44.5,,0,0,0,1,0,0,0
Killer Image,1992,94,NA,4.1,41,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,0,4.5,,0,0,0,0,0,0,0
Fore Play,1975,75,NA,4.6,6,0,0,14.5,0,0,14.5,0,34.5,14.5,14.5,,0,0,1,0,0,0,0
Aye zohaye zamin,2001,81,NA,4.9,8,0,0,0,24.5,14.5,0,34.5,14.5,14.5,0,,0,0,0,0,0,0,0
Dream a Little Dream,1989,114,NA,5.2,995,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,24.5,,0,0,1,1,0,0,0
Day of the Dead,1957,15,NA,3,11,14.5,0,4.5,0,0,4.5,14.5,0,0,44.5,,0,0,0,0,1,0,1
"Door with Seven Locks, The",1940,79,NA,5.9,51,0,4.5,4.5,4.5,4.5,34.5,14.5,14.5,4.5,0,,0,0,0,1,0,0,0
Total western,2000,84,NA,6.4,181,4.5,4.5,4.5,4.5,14.5,4.5,24.5,24.5,14.5,4.5,,1,0,0,1,0,0,0
"Thief & the Stripper, The",1998,84,NA,3,10,24.5,24.5,0,14.5,0,0,14.5,14.5,0,34.5,R,0,0,0,1,0,0,0
Maid of Salem,1937,85,NA,6.4,36,4.5,0,0,4.5,4.5,14.5,34.5,24.5,4.5,4.5,,0,0,0,1,0,0,0
Ach du lieber Harry,1981,85,NA,5.1,54,4.5,4.5,4.5,4.5,24.5,24.5,14.5,4.5,0,4.5,,0,0,1,0,0,0,0
"Pebble and the Penguin, The",1995,74,NA,4.5,173,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,14.5,,0,1,0,0,0,0,0
Dance with Me,1997,9,NA,6,5,24.5,0,0,0,0,44.5,0,0,0,44.5,,0,0,0,0,0,0,1
This Is Not a Love Story,2002,81,1000000,4.2,9,14.5,14.5,0,0,14.5,34.5,14.5,0,0,24.5,,0,0,1,1,0,0,0
"Journey to Avebury, A",1971,10,NA,5.4,13,4.5,4.5,0,14.5,4.5,24.5,0,24.5,0,14.5,,0,0,0,0,0,0,1
To the Public Danger,1948,43,NA,6.8,18,0,4.5,4.5,14.5,14.5,14.5,34.5,14.5,4.5,0,,0,0,0,1,0,0,1
It Lives Again,1978,68,NA,4.3,192,4.5,4.5,14.5,14.5,14.5,24.5,4.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
"Weapon, The",1957,77,NA,5.9,7,0,0,0,14.5,14.5,14.5,24.5,0,0,24.5,,0,0,0,0,0,0,0
Northeast of Seoul,1972,84,NA,4.4,12,14.5,0,0,44.5,14.5,4.5,0,0,0,14.5,,1,0,0,0,0,0,0
Cortigiana di Babilonia,1955,105,NA,5.3,21,0,14.5,0,4.5,14.5,24.5,4.5,4.5,4.5,14.5,,1,0,0,1,0,0,0
Three Kings,1999,114,48000000,7.3,31503,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,1,0,1,1,0,0,0
"Sustitutos, Los",2003,15,NA,8.4,5,0,0,0,0,0,24.5,0,44.5,0,44.5,,1,0,0,0,0,0,1
"Bons Tempos Voltaram: Vamos Gozar Outra Vez, Os",1985,115,NA,7.6,14,0,0,4.5,4.5,14.5,4.5,4.5,14.5,4.5,34.5,,0,0,1,0,0,0,0
"Yor, the Hunter from the Future",1983,88,NA,2.5,418,34.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,,0,0,0,0,0,0,0
Nevada,1997,108,NA,4.6,131,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,,0,0,0,1,0,0,0
Devot,2003,89,NA,8.7,87,14.5,4.5,4.5,4.5,4.5,14.5,4.5,14.5,14.5,24.5,,0,0,0,1,0,0,0
Late Bloomers,1996,104,NA,6.1,96,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,,0,0,1,0,0,0,0
"Right to Live, The",1935,75,NA,6,5,0,0,0,0,0,64.5,24.5,0,0,24.5,,0,0,0,1,0,0,0
Foxhole in Cairo,1961,80,NA,4.9,24,4.5,0,0,24.5,24.5,14.5,14.5,4.5,4.5,0,,0,0,0,1,0,0,0
"Totale!, La",1991,102,NA,6.3,210,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,4.5,4.5,,0,0,1,0,0,0,0
War Arrow,1953,78,NA,5.4,56,0,4.5,4.5,14.5,24.5,14.5,14.5,4.5,0,4.5,,0,0,0,0,0,0,0
Be Good Daniel,2004,20,4000,5.7,8,14.5,14.5,14.5,0,0,14.5,14.5,0,14.5,24.5,,0,0,1,0,0,1,1
Twisted Sheets,1996,14,NA,5.5,9,0,0,0,0,44.5,0,24.5,14.5,14.5,14.5,,0,0,1,0,0,0,1
"Parole Officer, The",2001,93,NA,6.3,1047,4.5,4.5,4.5,4.5,4.5,14.5,34.5,14.5,4.5,4.5,R,0,0,1,0,0,0,0
Boin-n-g,1963,70,NA,1.2,11,64.5,14.5,4.5,0,0,0,0,4.5,0,0,,0,0,1,0,0,0,0
Knockout,1941,73,NA,6.1,20,0,0,14.5,14.5,14.5,34.5,34.5,0,0,14.5,,0,0,0,1,0,0,0
Remote Control,1930,65,NA,5.6,13,4.5,0,0,4.5,14.5,24.5,34.5,4.5,4.5,0,,0,0,1,1,0,0,0
Daitozoku,1963,96,NA,5,21,4.5,4.5,0,4.5,4.5,14.5,14.5,14.5,0,24.5,,1,0,0,0,0,0,0
Plumbing Is a 'Pipe',1938,7,NA,7.2,12,0,0,4.5,0,0,14.5,4.5,34.5,14.5,14.5,,0,1,1,0,0,0,1
"Unknown, The",1927,49,NA,7.9,539,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,0,0,0,1,0,1,0
Juke-Bar,1989,10,NA,6.4,30,0,0,4.5,14.5,4.5,14.5,24.5,24.5,4.5,14.5,,0,1,1,0,0,0,1
Ghoulies II,1987,89,NA,3.3,319,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,,0,0,1,0,0,0,0
Border Cafe,1937,67,NA,4,8,14.5,0,24.5,14.5,34.5,0,0,0,0,14.5,,0,0,0,0,0,1,0
"Girl Next Door, The",1953,92,NA,6.5,21,0,0,0,4.5,4.5,24.5,14.5,4.5,14.5,24.5,,0,0,1,0,0,0,0
Due soldi di speranza,1952,110,NA,6.7,21,0,0,0,4.5,4.5,4.5,14.5,24.5,14.5,4.5,,0,0,1,1,0,0,0
Hyper Space,1989,81,NA,3.6,13,44.5,0,14.5,14.5,4.5,4.5,0,0,0,4.5,,0,0,0,0,0,0,0
Jerry and Jumbo,1953,7,NA,7.3,33,4.5,4.5,0,0,4.5,4.5,34.5,24.5,4.5,4.5,,0,1,1,0,0,0,1
"Honeymooners, The",2003,89,NA,4.7,35,4.5,4.5,4.5,14.5,4.5,14.5,14.5,4.5,4.5,24.5,,0,0,1,0,0,0,0
"Power of One, The",1992,127,NA,6.7,1947,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,,0,0,0,1,0,0,0
Merlin,1992,115,NA,3.8,70,24.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,,1,0,0,0,0,0,0
"Buena vida, La",1996,107,NA,6.8,164,0,0,4.5,4.5,4.5,14.5,34.5,24.5,4.5,4.5,,0,0,1,1,0,0,0
My Cousin Vinny,1992,120,11000000,7.2,10877,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,1,0,0,0,0
"Hasty Marriage, The",1931,21,NA,7.8,9,0,0,0,0,14.5,14.5,24.5,24.5,24.5,14.5,,0,0,1,0,0,0,1
"Pactole, Le",1985,90,NA,6.4,11,0,0,0,0,14.5,24.5,34.5,0,0,14.5,,0,0,0,0,0,0,0
Cudnovate zgode segrta Hlapica,1997,75,NA,3.3,13,24.5,0,0,0,0,14.5,14.5,4.5,24.5,14.5,,0,1,0,0,0,0,0
Destiny,1944,65,NA,5.6,6,0,0,0,0,14.5,14.5,14.5,34.5,14.5,0,,0,0,0,1,0,0,0
Edge of Eternity,1959,80,700000,5.8,44,4.5,0,4.5,4.5,24.5,24.5,24.5,4.5,0,4.5,,1,0,0,1,0,0,0
You and Your Five Senses,1955,8,NA,7.2,11,0,0,0,0,4.5,4.5,44.5,14.5,0,14.5,,0,1,0,0,0,0,1
How to Succeed in Business Without Really Trying,1967,121,NA,7,627,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,1,0,0,0,0
"Letter to True, A",2004,78,NA,6,23,4.5,0,4.5,4.5,14.5,14.5,34.5,4.5,4.5,14.5,,0,0,0,0,1,0,0
7 Wise Dwarfs,1941,4,NA,6,35,0,0,4.5,4.5,14.5,34.5,24.5,4.5,0,4.5,,0,1,0,0,0,0,1
"Cock-Eyed World, The",1929,118,661315,5.9,11,0,0,0,14.5,34.5,0,14.5,4.5,4.5,4.5,,0,0,1,0,0,0,0
Perekhvat,1986,87,NA,7.5,8,0,0,14.5,0,14.5,14.5,0,0,45.5,14.5,,1,0,0,0,0,0,0
Innerspace,1987,120,NA,6.4,7354,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,4.5,4.5,,1,0,1,0,0,0,0
Time Walker,1982,83,750000,2.4,170,34.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
Bad Girls in the Movies,1986,56,NA,5.1,5,0,0,0,24.5,24.5,0,0,24.5,24.5,24.5,,0,0,0,0,1,0,0
"Return of Draw Egan, The",1916,50,NA,7.6,6,0,0,0,0,0,14.5,0,14.5,34.5,34.5,,0,0,0,0,0,0,1
Take a Girl Like You,1970,101,NA,4.5,16,4.5,14.5,0,4.5,14.5,14.5,14.5,4.5,14.5,14.5,,0,0,1,0,0,0,0
Plunder of the Sun,1953,81,NA,4.6,12,4.5,14.5,4.5,4.5,4.5,0,4.5,14.5,4.5,14.5,,1,0,0,1,0,0,0
"Evil Cameraman, The",1990,12,NA,4.8,33,14.5,4.5,4.5,4.5,14.5,4.5,14.5,14.5,4.5,14.5,,0,0,0,0,0,0,1
Strange Interlude,1932,109,408000,5.8,97,4.5,14.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,,0,0,0,1,0,0,0
Gold Diggers of 1935,1935,98,NA,6.9,204,0,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,,0,0,0,0,0,0,0
Bice skoro propast sveta,1968,84,NA,6.1,21,4.5,0,0,4.5,14.5,14.5,4.5,14.5,24.5,14.5,,0,0,0,1,0,0,0
"Baigneuses, Les",2003,83,NA,5,23,14.5,0,14.5,4.5,24.5,14.5,14.5,0,4.5,4.5,,0,0,0,1,0,0,0
Some Days,2003,4,NA,4.2,6,0,14.5,34.5,14.5,0,14.5,14.5,0,0,0,,0,0,0,0,0,0,1
Zone Troopers,1986,86,NA,5,126,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,,0,0,0,0,0,0,0
Studie Nr. 7,1931,3,NA,8.5,20,4.5,0,0,0,0,4.5,24.5,24.5,24.5,24.5,,0,0,0,0,0,0,1
"Tranquillo posto di campagna, Un",1969,106,NA,5.3,31,4.5,4.5,0,4.5,14.5,4.5,14.5,24.5,4.5,4.5,,0,0,0,0,0,0,0
Evelyn: The Cutest Evil Dead Girl,2002,8,NA,7.4,81,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,,0,0,1,0,0,0,1
"Skrupellosen.com, Die",2003,89,NA,5,19,4.5,0,14.5,14.5,24.5,24.5,14.5,0,0,0,,0,0,1,0,0,0,0
Confidence Girl,1952,81,NA,5.4,8,0,0,0,14.5,34.5,24.5,24.5,0,0,0,,0,0,0,1,0,0,0
Lurkers,1988,90,NA,3,31,14.5,14.5,14.5,14.5,4.5,0,14.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
Half-Shot Shooters,1936,19,NA,7.3,67,4.5,0,4.5,0,4.5,4.5,24.5,14.5,14.5,24.5,,0,0,1,0,0,0,1
Anjos do Arrabalde,1987,90,NA,7.7,23,0,0,0,0,14.5,4.5,4.5,24.5,34.5,24.5,,0,0,0,1,0,0,0
Ben-Hur,1925,151,3900000,8,848,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,0,0,0,1,0,1,0
"See Here, Private Hargrove",1944,100,NA,7.2,50,0,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,1,0,0,0,0
Cameras Take Five,2003,3,NA,6.7,8,0,0,0,0,34.5,14.5,0,24.5,14.5,14.5,,0,1,0,0,0,0,1
Free Willy 3: The Rescue,1997,86,NA,4,641,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,PG,0,0,0,1,0,0,0
Frankenweenie,1984,29,NA,7.2,1244,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,1,0,0,0,1
"Grey Zone, The",2001,108,5000000,7.3,1553,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,0,1,0,0,0
Fine mrtve djevojke,2002,77,NA,7.2,153,14.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,,0,0,0,1,0,0,0
Saturn 3,1980,88,NA,4.4,1089,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
Heat,1972,102,NA,6,289,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,,0,0,1,1,0,0,0
Cialo,2003,98,NA,6.5,121,4.5,4.5,0,4.5,4.5,14.5,24.5,24.5,4.5,14.5,,0,0,1,0,0,0,0
Little Boy Blue,1997,105,NA,6.3,453,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,0,1,0,0,0
"Wild Bunch: An Album in Montage, The",1996,34,NA,7.2,68,0,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,,0,0,0,0,1,0,1
Deadline Auto Theft,1983,98,NA,5,11,4.5,4.5,0,0,24.5,0,24.5,0,0,24.5,,1,0,0,0,0,0,0
Tevya,1939,93,70000,6.4,46,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,,0,0,0,1,0,0,0
